word,meaning,type,level,sentence,sentence_cn,phonetic
relation,关系,名词_abs,A2,The relation between the two brothers is good.,两兄弟之间的关系很好。,/rɪˈleɪʃən/
religion,宗教,名词_abs,A2,There are many different religions in the world.,世界上有许多不同的宗教。,/rɪˈlɪdʒən/
respect,尊重,名词_pic,A2,I have great respect for my teachers.,我非常尊重我的老师。,/rɪˈspekt/
science,科学,名词_abs,A2,Science is a fascinating subject.,科学是一门迷人的学科。,/ˈsaɪəns/
sense,感官/感觉,名词_pic,A2,My sense of smell is very good.,我的嗅觉非常好。,/sens/
society,社会,名词_abs,A2,We live in a modern society.,我们生活在一个现代社会里。,/səˈsaɪəti/
sort,种类,名词_pic,A2,What sort of music do you like best?,你最喜欢哪种音乐？,/sɔːrt/
space,空间,名词_pic,A2,There is not enough space in this room.,这个房间空间不够。,/speɪs/
step,步骤/台阶,名词_pic,A2,Take one step forward.,向前迈一步。,/step/
suggestion,建议,名词_abs,A2,Thanks for your helpful suggestion.,谢谢你的有益建议。,/səˈdʒestʃən/
support,支持,名词_abs,A2,Thank you for your support during the difficult time.,感谢你在困难时期给予的支持。,/səˈpɔːrt/
system,系统,名词_pic,A2,The system is working well.,系统运转良好。,/ˈsɪstəm/
test,测试/考试,名词_pic,A2,She passed her driving test on the first attempt.,她第一次尝试就通过了驾照考试。,/test/
thought,想法/思想,名词_pic,A2,I just had a thought about our trip.,我刚想到了一个关于我们旅行的事。,/θɔːt/
trouble,麻烦,名词_pic,A2,"He is in trouble, but his brother is in more trouble.",他有麻烦，但他的兄弟麻烦更大。,/ˈtrʌbl/
view,视野/看法,名词_pic,A2,The view from my window is more beautiful than yours.,我窗外的景色比你的更美。,/vjuː/
voice,声音,名词_pic,A2,Her voice is sweet and she sings sweetly.,她的声音甜美，她唱得很甜美。,/vɔɪs/
war,战争,名词_abs,A2,The two countries are at war.,这两个国家在交战。,/wɔːr/
writing,写作,名词_pic,A2,His writing is clearer than his brother's.,他的字写得比他兄弟更清楚。,/ˈraɪtɪŋ/
account,账户,名词_pic,B1,There are two accounts in the bank.,银行里有两个账户。,/əˈkaʊnt/
act,行为/行动,名词_pic,B1,Her act of kindness made everyone happy.,她的善举让每个人都开心。,/ækt/
addition,增加/加法,名词_pic,B1,The addition of sugar makes the cake sweeter.,加糖让蛋糕更甜。,/əˈdɪʃən/
advertisement,广告,名词_pic,B1,There are many advertisements on the street.,街上有许多广告。,/ˌædvərˈtaɪzmənt/
agreement,协议,名词_pic,B1,The two parties made an agreement.,双方达成了一项协议。,/əˈɡriːmənt/
amusement,娱乐,名词_pic,B1,Reading is a good amusement.,阅读是一种很好的娱乐。,/əˈmjuːzmənt/
approval,批准,名词_abs,B1,You need your parents' approval to go.,你需要父母的批准才能去。,/əˈpruːvəl/
argument,争论/论据,名词_abs,B1,They had an argument about the price.,他们就价格问题发生了争论。,/ˈɑːrɡjumənt/
attraction,吸引力/景点,名词_pic,B1,The main attraction of the park is the lake.,这个公园的主要景点是湖泊。,/əˈtrækʃən/
authority,权威/当局,名词_pic,B1,The local authorities are responsible for safety.,地方当局负责安全工作。,/əˈθɔːrəti/
balance,平衡,名词_pic,B1,Keep your balance on the bike.,在自行车上保持平衡。,/ˈbæləns/
base,底部/基地,名词_pic,B1,The base of the mountain is wide.,山脚很宽。,/beɪs/
belief,信念,名词_pic,B1,I have a strong belief in justice.,我坚信正义。,/bɪˈliːf/
comparison,比较,名词_pic,B1,There is no comparison between the two cars.,这两辆车没法比。,/kəmˈpærɪsən/
competition,竞争,名词_pic,B1,The competition was stronger than last year.,今年的竞争比去年更激烈。,/ˌkɑːmpəˈtɪʃən/
connection,连接,名词_pic,B1,The internet connection is faster now.,现在网络连接更快了。,/kəˈnekʃən/
credit,信用/学分,名词_abs,B1,He has good credit at the bank.,他在银行有良好的信用。,/ˈkredɪt/
crime,犯罪,名词_pic,B1,Crime is less common in small towns.,小城镇里犯罪较少见。,/kraɪm/
current,电流/水流,名词_pic,B1,The current of the river is stronger after the rain.,雨后河里的水流更急了。,/ˈkɜːrənt/
debt,债务,名词_pic,B1,He is in debt because he borrowed too much money.,他因为借了太多钱而负债。,/det/
desire,渴望,名词_abs,B1,He has a strong desire to learn English.,他非常渴望学习英语。,/dɪˈzaɪər/
development,发展,名词_abs,B1,The development of the town was very fast.,这座城镇的发展非常快。,/dɪˈveləpmənt/
discovery,发现,名词_abs,B1,The discovery of oil made the country rich.,石油的发现让这个国家富裕起来。,/dɪˈskʌvəri/
disease,疾病,名词_pic,B1,Heart disease is more common in older people.,心脏病在老年人中更常见。,/dɪˈziːz/
division,分割/部门,名词_pic,B1,The division of the money was unequal.,钱分得不均匀。,/dɪˈvɪʒən/
effect,效果/影响,名词_abs,B1,The medicine had a good effect on the patient.,药物对病人产生了良好的效果。,/ɪˈfekt/
existence,存在,名词_abs,B1,Do you believe in the existence of ghosts?,你相信鬼魂的存在吗？,/ɪɡˈzɪstəns/
fiction,小说,名词_pic,B1,He prefers reading fiction to non-fiction.,比起非小说类，他更喜欢读小说。,/ˈfɪkʃən/
growth,生长/增长,名词_pic,B1,The growth of the plant was faster in summer.,夏天植物长得更快。,/ɡroʊθ/
harmony,和谐,名词_pic,B1,They live in harmony with their neighbors.,他们与邻居和睦相处。,/ˈhɑːrməni/
hearing,听力,名词_pic,B1,His hearing is worse than last year.,他的听力比去年更差了。,/ˈhɪrɪŋ/
humour,幽默,名词_abs,B1,His humour makes everyone laugh.,他的幽默让所有人发笑。,/ˈhjuːmər/
increase,增加,名词_abs,B1,There was a large increase in sales.,销售额大幅增长。,/ˈɪŋkriːs/
insurance,保险,名词_pic,B1,He has health insurance.,他有健康保险。,/ɪnˈʃʊrəns/
invention,发明,名词_pic,B1,The telephone was a great invention.,电话是一项伟大的发明。,/ɪnˈvenʃən/
learning,学习,名词_abs,B1,Learning a language takes time.,学习一门语言需要时间。,/ˈlɜːrnɪŋ/
limit,限制,名词_abs,B1,There is a speed limit on this road.,这条路上有速度限制。,/ˈlɪmɪt/
loss,损失,名词_abs,B1,The company had a big loss last year.,公司去年亏损严重。,/lɔːs/
mass,质量/大量,名词_pic,B1,A large mass of people gathered in the square.,一大群人聚集在广场上。,/mæs/
measure,测量/措施,名词_abs,B1,We need to take safety measures.,我们需要采取安全措施。,/ˈmeʒər/
motion,运动,名词_pic,B1,The motion of the car made her feel sick.,车的晃动让她感到恶心。,/ˈmoʊʃən/
observation,观察,名词_abs,B1,The doctor kept the patient under observation.,医生对病人进行观察。,/ˌɑːbzərˈveɪʃən/
operation,手术/操作,名词_abs,B1,The operation took three hours.,手术花了三个小时。,/ˌɑːpəˈreɪʃən/
payment,付款,名词_abs,B1,Payment is due at the end of the month.,月底是付款截止日。,/ˈpeɪmənt/
position,位置/职位,名词_abs,B1,He applied for a new position at the company.,他在公司申请了一个新职位。,/pəˈzɪʃən/
process,过程,名词_abs,B1,The process of making cheese takes a long time.,制作奶酪的过程需要很长时间。,/ˈprɑːses/
profit,利润,名词_abs,B1,The company made a profit this year.,公司今年盈利了。,/ˈprɑːfɪt/
property,财产/房产,名词_abs,B1,This property is worth a lot of money.,这处房产价值很多钱。,/ˈprɑːpərti/
punishment,惩罚,名词_abs,B1,The punishment for the crime was severe.,对这项罪行的惩罚很严厉。,/ˈpʌnɪʃmənt/
range,范围/山脉,名词_pic,B1,The price range is between ten and twenty dollars.,价格范围在十到二十美元之间。,/reɪndʒ/
rate,比率/速度,名词_abs,B1,The rate of growth is higher this year.,今年的增长率更高。,/reɪt/
reaction,反应,名词_pic,B1,Her reaction was faster than mine.,她的反应比我更快。,/riˈækʃən/
request,请求,名词_abs,B1,They made a request for more time.,他们请求更多的时间。,/rɪˈkwest/
reward,奖励,名词_abs,B1,There is a reward for finding the lost dog.,找到丢失的狗有奖励。,/rɪˈwɔːrd/
rhythm,节奏,名词_abs,B1,The music has a strong rhythm.,这音乐节奏感很强。,/ˈrɪðəm/
scale,规模/尺度,名词_abs,B1,The scale of the problem is very large.,问题的规模很大。,/skeɪl/
selection,选择,名词_abs,B1,There is a wide selection of books in the library.,图书馆里有各种各样的书可供选择。,/sɪˈlekʃən/
self,自我,名词_abs,B1,He has a strong sense of self.,他有很强的自我意识。,/self/
sex,性别,名词_abs,B1,Please write your name and sex on the form.,请在表格上填写你的姓名和性别。,/seks/
statement,声明/陈述,名词_abs,B1,The police made a statement about the accident.,警方就事故发表了一份声明。,/ˈsteɪtmənt/
structure,结构,名词_abs,B1,The structure of the building is very strong.,这座建筑的结构非常坚固。,/ˈstrʌktʃər/
substance,物质,名词_abs,B1,Water is a liquid substance.,水是一种液体物质。,/ˈsʌbstəns/
tax,税,名词_abs,B1,The tax on goods is higher than before.,商品的税比以前更高了。,/tæks/
teaching,教学,名词_abs,B1,Teaching is a difficult but rewarding job.,教学是一份困难但有价值的工作。,/ˈtiːtʃɪŋ/
tendency,倾向,名词_abs,B1,He has a tendency to arrive late.,他有迟到的倾向。,/ˈtendənsi/
theory,理论,名词_abs,B1,Do you believe in this theory?,你相信这个理论吗？,/ˈθiːəri/
trade,贸易,名词_abs,B1,The two countries do more trade now than before.,这两个国家现在比过去贸易更多。,/treɪd/
transport,运输,名词_pic,B1,The transport of goods by sea is slower than by air.,海上运输货物比空运更慢。,/ˈtrænspɔːrt/
unit,单位,名词_pic,B1,There are twelve units in the book.,这本书有十二个单元。,/ˈjuːnɪt/
value,价值,名词_abs,B1,The value of this ring is higher than the value of that one.,这枚戒指的价值比那枚更高。,/ˈvæljuː/
verse,诗歌,名词_pic,B1,The verses of this poem are beautifully written.,这首诗的章节写得优美。,/vɜːrs/
waste,浪费,名词_abs,B1,It is a waste of time to do it again.,再做一次是浪费时间。,/weɪst/
adjustment,调整,名词_abs,B2,The adjustment of the machine was done quickly.,机器的调整很快就完成了。,/əˈdʒʌstmənt/
apparatus,仪器/设备,名词_pic,B2,The new apparatus works better than the old one.,新设备比旧的更好用。,/ˌæpəˈrætəs/
destruction,破坏,名词_abs,B2,The war brought destruction to the city.,战争给这座城市带来了毁灭。,/dɪˈstrʌkʃən/
digestion,消化,名词_abs,B2,Good digestion is important for health.,良好的消化对健康很重要。,/daɪˈdʒestʃən/
distribution,分配/分布,名词_pic,B2,The distribution of food was fair to everyone.,食物的分配对每个人都很公平。,/ˌdɪstrɪˈbjuːʃən/
expansion,扩张,名词_abs,B2,The expansion of the city took many years.,城市的扩张花了很多年。,/ɪkˈspænʃən/
impulse,冲动,名词_abs,B2,He bought the car on impulse.,他一时冲动买下了那辆车。,/ˈɪmpʌls/
prose,散文,名词_pic,B2,He writes beautiful prose.,他写优美的散文。,/proʊz/
help,帮助,名词_abs,A1,Thank you for your kind help.,谢谢你的热心帮助。,/help/
look,看/表情,名词_pic,A1,Take a look at this picture.,看看这张照片。,/lʊk/
run,跑步,名词_pic,A1,She goes for a run every morning.,她每天早上跑步。,/rʌn/
sleep,睡眠,名词_abs,A1,I need eight hours of sleep every night.,我每晚需要八小时的睡眠。,/sliːp/
smile,微笑,名词_pic,A1,She has a beautiful smile.,她的微笑很美丽。,/smaɪl/
start,开始,名词_pic,A1,We made an early start on our journey.,我们很早就开始了旅程。,/stɑːrt/
stop,停止/车站,名词_pic,A1,The bus came to a sudden stop.,公共汽车突然停了下来。,/stɑːp/
talk,谈话,名词_abs,A1,We had a long talk about our plans.,我们就计划进行了长时间的交谈。,/tɔːk/
turn,转弯/轮次,名词_pic,A1,It is your turn to go.,轮到你去了。,/tɜːrn/
walk,走路,名词_pic,A1,She takes a walk every day.,她每天散步。,/wɔːk/
cough,咳嗽,名词_pic,A2,He has a bad cough.,他咳嗽得很厉害。,/kɔːf/
cry,哭,名词_pic,A2,The baby's cry was louder than the dog's bark.,婴儿的哭声比狗叫声更大。,/kraɪ/
discussion,讨论,名词_abs,A2,We had a long discussion about the problem.,我们就这个问题进行了长时间的讨论。,/dɪˈskʌʃən/
driving,驾驶,名词_pic,A2,Driving at night is harder than driving in the day.,晚上开车比白天更难。,/ˈdraɪvɪŋ/
fall,跌倒/秋天,名词_pic,A2,He had a bad fall from the ladder.,他从梯子上重重地摔了下来。,/fɔːl/
fight,打架/斗争,名词_pic,A2,There was a fight between the two boys.,两个男孩之间打了一架。,/faɪt/
flight,飞行,名词_pic,A2,My flight to London was delayed.,我飞往伦敦的航班延误了。,/flaɪt/
journey,旅行,名词_pic,A2,The train journey was very long.,火车旅程很长。,/ˈdʒɜːrni/
jump,跳跃,名词_pic,A2,The cat made a high jump.,猫跳得很高。,/dʒʌmp/
kick,踢,名词_pic,A2,He gave the ball a hard kick.,他用力踢了一下球。,/kɪk/
kiss,吻,名词_pic,A2,She gave her mother a soft kiss.,她轻轻地吻了一下母亲。,/kɪs/
laugh,笑声,名词_pic,A2,His laugh is louder than hers.,他的笑声比她的更大。,/læf/
move,移动,名词_pic,A2,It was a smart move to change jobs.,换工作是个明智之举。,/muːv/
play,戏剧/游戏,名词_pic,A2,We saw a play at the theater.,我们在剧院看了一场戏。,/pleɪ/
pull,拉/引力,名词_pic,A2,He gave the door a hard pull.,他用力拉了一下门。,/pʊl/
push,推,名词_pic,A2,Give the door a push to open it.,推一下门把它打开。,/pʊʃ/
reading,阅读,名词_abs,A2,Reading is a good way to learn new words.,阅读是学习新单词的好方法。,/ˈriːdɪŋ/
shake,摇动/握手,名词_pic,A2,Give the bottle a shake before you open it.,打开前摇一摇瓶子。,/ʃeɪk/
swim,游泳,名词_pic,A2,Let's go for a swim in the lake.,我们去湖里游泳吧。,/swɪm/
touch,触摸,名词_pic,A2,A soft touch is better than a hard one.,轻轻的触摸比用力的更好。,/tʌtʃ/
wash,洗,名词_abs,A2,The washing of the car takes a long time.,洗车需要很长时间。,/wɑːʃ/
attack,攻击,名词_abs,B1,The army made a sudden attack at night.,军队在夜间发起了突然攻击。,/əˈtæk/
attempt,尝试,名词_pic,B1,She passed the test on her first attempt.,她第一次尝试就通过了考试。,/əˈtempt/
bite,咬,名词_pic,B1,The dog gave a bite to his leg.,狗咬了他的腿。,/baɪt/
blow,打击,名词_pic,B1,He received a hard blow on the head.,他的头部受到了重击。,/bloʊ/
burn,烧伤/燃烧,名词_pic,B1,The burn on his arm was more painful than the cut.,他手臂上的烧伤比伤口更疼。,/bɜːrn/
exchange,交换,名词_abs,B1,There was an exchange of gifts between the two families.,两个家庭之间交换了礼物。,/ɪksˈtʃeɪndʒ/
fold,折叠,名词_pic,B1,Make a fold in the paper along the line.,沿着线在纸上折一下。,/foʊld/
grip,紧握,名词_pic,B1,He tightened his grip on the rope.,他握紧了绳子。,/ɡrɪp/
print,印刷/打印,名词_pic,B1,The print of the picture is very clear.,这幅画的印刷非常清晰。,/prɪnt/
protest,抗议,名词_abs,B1,There was a protest against the new law.,有人抗议新法律。,/ˈproʊtest/
rub,摩擦,名词_pic,B1,Give your sore back a rub.,揉一揉你酸痛的背。,/rʌb/
slip,滑倒/纸条,名词_pic,B1,She had a slip on the wet floor.,她在湿滑的地板上滑倒了。,/slɪp/
smash,破碎/猛击,名词_pic,B1,The smash of the glass woke everyone up.,玻璃破碎的声音把所有人都吵醒了。,/smæʃ/
sneeze,喷嚏,名词_pic,B1,His sneeze was louder than the noise of the car.,他的喷嚏声比汽车声还大。,/sniːz/
stretch,伸展,名词_pic,B1,She did a stretch before running.,她在跑步前做了伸展运动。,/stretʃ/
trick,把戏/诡计,名词_pic,B1,The dog did the trick quickly.,这只狗很快地完成了把戏。,/trɪk/
twist,扭曲,名词_pic,B1,Give the cap a twist.,拧一下盖子。,/twɪst/
burst,爆裂,名词_pic,B2,There was a burst of laughter in the room.,房间里爆发出一阵笑声。,/bɜːrst/
crush,压碎,名词_pic,B2,The crush of the crowd was dangerous.,人群的拥挤很危险。,/krʌʃ/
animal,动物,名词_pic,A1,There are many animals on the farm.,农场里有许多动物。,/ˈænɪml/
bird,鸟,名词_abs,A1,The birds are singing happily.,鸟儿们在快乐地歌唱。,/bɜːrd/
cat,猫,名词_pic,A1,The cats are sleeping on the bed.,猫在床上睡觉。,/kæt/
cow,牛,名词_pic,A1,The cows are eating grass in the field.,牛在田野里吃草。,/kaʊ/
dog,狗,名词_pic,A1,The dogs are running fast.,狗们跑得很快。,/dɔːɡ/
fish,鱼,名词_pic,A1,The fish are swimming in the water.,鱼在水里游泳。,/fɪʃ/
horse,马,名词_pic,A1,The horses are running fast.,马在飞快地奔跑。,/hɔːrs/
pig,猪,名词_pic,A1,The pigs are eating noisily.,猪在大声地吃东西。,/pɪɡ/
sheep,羊,名词_pic,A1,There are many sheep in the field.,田野里有许多羊。,/ʃiːp/
insect,昆虫,名词_pic,A2,There are insects in the garden.,花园里有昆虫。,/ˈɪnsekt/
ant,蚂蚁,名词_pic,A2,The ants are walking slowly across the sand.,蚂蚁在沙地上缓慢地爬行。,/ænt/
bee,蜜蜂,名词_pic,A2,The bees are flying quickly from flower to flower.,蜜蜂在花丛间快速飞舞。,/biː/
fly,苍蝇,名词_pic,A2,There are flies on the food.,苍蝇在食物上。,/flaɪ/
goat,山羊,名词_pic,A2,The goats are eating the grass.,山羊在吃草。,/ɡoʊt/
monkey,猴子,名词_pic,A2,The monkeys are jumping higher than the cats.,猴子们跳得比猫更高。,/ˈmʌŋki/
rat,老鼠,名词_pic,A2,The rats are running fast.,老鼠们跑得很快。,/ræt/
snake,蛇,名词_pic,A2,The snakes are moving slowly through the grass.,蛇在草丛中缓慢移动。,/sneɪk/
worm,虫,名词_pic,A2,The worms are moving slowly in the earth.,虫子在土里缓慢移动。,/wɜːrm/
fowl,家禽,名词_pic,B1,The fowls are in the garden.,家禽在花园里。,/faʊl/
back,背部/后面,名词_pic,A1,My back hurts after sitting too long.,坐了太久我的背很疼。,/bæk/
body,身体,名词_pic,A1,Wash your body with soap.,用肥皂洗身体。,/ˈbɑːdi/
arm,手臂,名词_pic,A1,His arms are longer than his legs.,他的手臂比腿更长。,/ɑːrm/
ear,耳朵,名词_pic,A1,The dogs have big ears.,这些狗有大耳朵。,/ɪr/
eye,眼睛,名词_pic,A1,She has blue eyes.,她有一双蓝眼睛。,/aɪ/
face,脸,名词_pic,A1,Wash your faces before eating.,吃饭前洗洗脸。,/feɪs/
finger,手指,名词_pic,A1,She has ten fingers.,她有十根手指。,/ˈfɪŋɡər/
foot,脚,名词_pic,A1,My feet are cold.,我的脚很冷。,/fʊt/
hair,头发,名词_pic,A1,The women have long black hair.,这些女人有一头长长的黑发。,/her/
hand,手,名词_pic,A1,Wash your hands before eating.,吃饭前洗手。,/hænd/
head,头,名词_pic,A1,The men have pain in their heads.,男人们头疼。,/hed/
leg,腿,名词_pic,A1,The table has four legs.,这张桌子有四条腿。,/leɡ/
mouth,嘴巴,名词_pic,A1,Open your mouths widely.,张大你们的嘴巴。,/maʊθ/
nose,鼻子,名词_pic,A1,The dogs have wet noses.,这些狗的鼻子是湿的。,/noʊz/
bone,骨头,名词_pic,A2,The dog has two bones.,这只狗有两根骨头。,/boʊn/
brain,大脑,名词_pic,A2,Human brains are larger than those of most animals.,人类的大脑比大多数动物更大。,/breɪn/
chest,胸部/箱子,名词_pic,A2,The chests are full of old clothes.,箱子里装满了旧衣服。,/tʃest/
chin,下巴,名词_pic,A2,The men have cuts on their chins.,男人们下巴上有伤口。,/tʃɪn/
heart,心脏,名词_pic,A2,Their hearts are beating fast.,他们的心跳得很快。,/hɑːrt/
knee,膝盖,名词_pic,A2,His knees hurt more than his feet.,他的膝盖比脚更疼。,/niː/
lip,嘴唇,名词_pic,A2,The women put color on their lips.,女人们在嘴唇上涂了颜色。,/lɪp/
nail,指甲/钉子,名词_pic,A2,Her nails are longer than her fingers.,她的指甲比手指更长。,/neɪl/
neck,脖子,名词_pic,A2,The necks of the bottles are long.,这些瓶子的瓶颈很长。,/nek/
skin,皮肤,名词_pic,A2,His skin is darker than hers.,他的皮肤比她的更黑。,/skɪn/
stomach,胃,名词_pic,A2,Their stomachs are full.,他们的胃很饱。,/ˈstʌmək/
tail,尾巴,名词_pic,A2,The tails of the cats are long.,猫的尾巴很长。,/teɪl/
throat,喉咙,名词_pic,A2,Their throats are dry.,他们的喉咙很干。,/θroʊt/
thumb,拇指,名词_pic,A2,His thumbs are thicker than his fingers.,他的拇指比手指更粗。,/θʌm/
toe,脚趾,名词_pic,A2,His toes are shorter than his fingers.,他的脚趾比手指更短。,/toʊ/
tongue,舌头,名词_pic,A2,The dogs put their tongues out.,狗们伸出舌头。,/tʌŋ/
tooth,牙齿,名词_pic,A2,Her teeth are whiter than mine.,她的牙齿比我的更白。,/tuːθ/
wing,翅膀,名词_pic,A2,The wings of the bird are longer than its body.,鸟的翅膀比它的身体更长。,/wɪŋ/
horn,角,名词_pic,B1,The goats have two horns each.,每只山羊有两只角。,/hɔːrn/
muscle,肌肉,名词_pic,B1,His muscles are stronger than mine.,他的肌肉比我的更强壮。,/ˈmʌsl/
nerve,神经,名词_pic,B1,The nerves in his legs are more sensitive than those in his arms.,他腿上的神经比手臂上的更敏感。,/nɜːrv/
shirt,衬衫,名词_pic,A1,The shirts are white.,这些衬衫是白色的。,/ʃɜːrt/
shoe,鞋子,名词_pic,A1,Put your shoes on quickly.,快穿上你的鞋子。,/ʃuː/
skirt,裙子,名词_pic,A1,The skirts are hanging on the line.,裙子挂在晾衣绳上。,/skɜːrt/
sock,短袜,名词_pic,A1,There are socks on the floor.,地板上有袜子。,/sɑːk/
trousers,裤子,名词_pic,A1,The trousers are on the chair.,裤子在椅子上。,/ˈtraʊzərz/
stocking,长袜,名词_pic,A2,The stockings are made of silk.,这些长袜是丝绸做的。,/ˈstɑːkɪŋ/
birth,出生,名词_abs,A2,The birth of the baby made the family happy.,婴儿的出生让全家人开心。,/bɜːrθ/
death,死亡,名词_pic,A2,The death of the old tree made the garden look different.,老树的枯死让花园看起来不一样了。,/deθ/
meeting,会议,名词_abs,A2,There is a meeting at three o'clock.,三点钟有个会议。,/ˈmiːtɪŋ/
feeling,感觉,名词_abs,A1,I have a good feeling about this plan.,我对这个计划感觉良好。,/ˈfiːlɪŋ/
hope,希望,名词_abs,A1,There is always hope for the future.,对未来总是有希望的。,/hoʊp/
love,爱,名词_abs,A1,She has great love for her family.,她非常爱她的家人。,/lʌv/
fear,恐惧,名词_pic,A2,She has a great fear of spiders.,她非常害怕蜘蛛。,/fɪr/
hate,憎恨,名词_abs,A2,He looked at his enemy with hate.,他满怀仇恨地看着敌人。,/heɪt/
pain,疼痛,名词_pic,A2,I have a pain in my back.,我背疼。,/peɪn/
pleasure,快乐,名词_pic,A2,It was a pleasure to meet you.,很高兴认识你。,/ˈpleʒər/
surprise,惊讶,名词_pic,A2,The news came as a great surprise to everyone.,这个消息让所有人都感到非常惊讶。,/sərˈpraɪz/
regret,遗憾,名词_abs,B1,She expressed regret for her mistake.,她为自己的错误感到遗憾。,/rɪˈɡret/
shame,羞耻,名词_abs,B1,He felt great shame for his actions.,他为自己的行为感到非常羞耻。,/ʃeɪm/
shock,震惊,名词_abs,B1,The news of the accident was a great shock to everyone.,事故的消息让所有人都感到震惊。,/ʃɑːk/
disgust,厌恶,名词_abs,B2,He looked at the dirty floor with disgust.,他厌恶地看着肮脏的地板。,/dɪsˈɡʌst/
bread,面包,名词_pic,A1,There is a loaf of bread on the table.,桌子上有一条面包。,/bred/
butter,黄油,名词_pic,A1,Spread butter on the bread.,在面包上涂黄油。,/ˈbʌtər/
drink,饮料,名词_pic,A1,Can I have a drink of water?,我能喝杯水吗？,/drɪŋk/
food,食物,名词_pic,A1,There is enough food for everyone.,有足够的食物给每个人。,/fuːd/
fruit,水果,名词_pic,A1,There is fresh fruit in the bowl.,碗里有新鲜水果。,/fruːt/
meal,一餐,名词_pic,A1,Breakfast is the first meal of the day.,早餐是一天中的第一餐。,/miːl/
meat,肉,名词_pic,A1,There is meat on the plate.,盘子里有肉。,/miːt/
milk,牛奶,名词_pic,A1,There is milk in the glass.,杯子里有牛奶。,/mɪlk/
rice,大米,名词_abs,A1,Rice is a common food in many countries.,大米是许多国家的常见食物。,/raɪs/
salt,盐,名词_pic,A1,Put some salt on the meat.,在肉上放些盐。,/sɔːlt/
soup,汤,名词_pic,A1,The soup is hotter than the bread.,汤比面包更热。,/suːp/
sugar,糖,名词_pic,A1,Do you take sugar in your coffee?,你咖啡里加糖吗？,/ˈʃʊɡər/
apple,苹果,名词_pic,A1,There are three apples in the basket.,篮子里有三个苹果。,/ˈæpl/
cake,蛋糕,名词_pic,A1,She made three cakes for the party.,她为派对做了三个蛋糕。,/keɪk/
cheese,奶酪,名词_pic,A1,There are two kinds of cheese on the table.,桌子上有两种奶酪。,/tʃiːz/
egg,蛋,名词_pic,A1,There are ten eggs in the basket.,篮子里有十个鸡蛋。,/eɡ/
orange,橙子/橙色,名词_pic,A1,The oranges are sweeter than the apples.,这些橙子比苹果更甜。,/ˈɔːrɪndʒ/
potato,土豆,名词_pic,A1,The potatoes are in the basket.,土豆在篮子里。,/pəˈteɪtoʊ/
wine,葡萄酒,名词_pic,A2,There is wine in the bottle.,瓶子里有葡萄酒。,/waɪn/
berry,浆果,名词_pic,A2,These berries are sweeter than those.,这些浆果比那些更甜。,/ˈberi/
nut,坚果,名词_pic,A2,There are nuts in the bowl.,碗里有坚果。,/nʌt/
jelly,果冻,名词_pic,B1,The jelly is softer than the cake.,果冻比蛋糕更软。,/ˈdʒeli/
produce,农产品,名词_pic,B1,The farm produce is fresh and healthy.,农场的农产品新鲜又健康。,/ˈprɑːduːs/
table,桌子,名词_pic,A1,There are two tables in the room.,房间里有两张桌子。,/ˈteɪbl/
company,公司/陪伴,名词_abs,A1,She works for a big company.,她为一家大公司工作。,/ˈkʌmpəni/
family,家庭,名词_pic,A1,There are five people in my family.,我家有五口人。,/ˈfæməli/
group,小组/团体,名词_abs,A1,The students worked in small groups.,学生们分成小组学习。,/ɡruːp/
government,政府,名词_abs,A2,The government made a new law.,政府制定了一项新法律。,/ˈɡʌvərnmənt/
nation,国家,名词_abs,A2,The nation celebrated its independence.,这个国家庆祝独立。,/ˈneɪʃən/
army,军队,名词_abs,A2,The army is more powerful now than before.,军队现在比以前更强大。,/ˈɑːrmi/
committee,委员会,名词_abs,B1,The committee made a decision quickly.,委员会很快做出了决定。,/kəˈmɪti/
organization,组织,名词_abs,B1,She works for a non-profit organization.,她为一个非营利组织工作。,/ˌɔːrɡənəˈzeɪʃən/
air,空气,名词_pic,A1,There is no air in the empty bottle.,空瓶子里没有空气。,/er/
cloth,布料,名词_pic,A1,This cloth is softer than that one.,这块布料比那块更软。,/klɔːθ/
glass,玻璃/杯子,名词_pic,A1,The window is made of glass.,窗户是玻璃做的。,/ɡlæs/
ice,冰,名词_pic,A1,There is ice on the lake in winter.,冬天湖面上有冰。,/aɪs/
paint,油漆/颜料,名词_pic,A1,The paint is still wet.,油漆还没干。,/peɪnt/
paper,纸,名词_abs,A1,I need a piece of paper.,我需要一张纸。,/ˈpeɪpər/
soap,肥皂,名词_pic,A1,Wash your hands with soap and water.,用肥皂和水洗手。,/soʊp/
stone,石头,名词_pic,A1,The boy threw a stone into the river.,男孩往河里扔了一块石头。,/stoʊn/
water,水,名词_pic,A1,There is water in the glass.,杯子里有水。,/ˈwɔːtər/
wood,木头,名词_pic,A1,This table is made of wood.,这张桌子是木头做的。,/wʊd/
blood,血液,名词_pic,A2,There is blood on his shirt.,他的衬衫上有血。,/blʌd/
chalk,粉笔,名词_pic,A2,The teacher wrote on the board with chalk.,老师用粉笔在黑板上写字。,/tʃɔːk/
coal,煤,名词_pic,A2,Coal is used for heating in winter.,冬天用煤取暖。,/koʊl/
cotton,棉花,名词_pic,A2,This shirt is made of cotton.,这件衬衫是棉的。,/ˈkɑːtn/
dust,灰尘,名词_pic,A2,There is dust on all the furniture.,所有家具上都有灰尘。,/dʌst/
